GTEx	EN-TEx
Small_Intestine_Terminal_Ileum	Peyer's_patch
Adrenal_Gland	adrenal_gland
Artery_Aorta	ascending_aorta
Pancreas	body_of_pancreas
Breast_Mammary_Tissue	breast_epithelium
Artery_Coronary	coronary_artery
Esophagus_Muscularis	esophagus_muscularis_mucosa
Esophagus_Mucosa	esophagus_squamous_epithelium
Muscle_Skeletal	gastrocnemius_medialis
Esophagus_Gastroesophageal_Junction	gastroesophageal_sphincter
Heart_Left_Ventricle	heart_left_ventricle
Skin_Sun_Exposed_Lower_leg	lower_leg_skin
Ovary	ovary
Prostate	prostate_gland
Heart_Atrial_Appendage	right_atrium_auricular_region
Liver	right_lobe_of_liver
Colon_Sigmoid	sigmoid_colon
Spleen	spleen
Stomach	stomach
Skin_Not_Sun_Exposed_Suprapubic	suprapubic_skin
Testis	testis
Artery_Aorta	thoracic_aorta
Thyroid	thyroid_gland
Artery_Tibial	tibial_artery
Nerve_Tibial	tibial_nerve
Colon_Transverse	transverse_colon
Lung	upper_lobe_of_left_lung
Uterus	uterus
Vagina	vagina
